Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
st.inputStoreName(store_name),Chrome 109.0.0.0,,,2023-02-13 09:23:12,2023-02-13 09:23:19,6.634s,PASSED
shopify.store.clickCreateStore(),Chrome 109.0.0.0,,,2023-02-13 09:23:19,2023-02-13 09:23:39,20.411s,PASSED
shopify.store.importProduct(product_file_local),Chrome 109.0.0.0,,,2023-02-13 09:23:39,2023-02-13 09:24:47,1m - 7.414s,PASSED
shopify.store.clickOnMenuOnlineStore(),Chrome 109.0.0.0,,,2023-02-13 09:24:47,2023-02-13 09:24:57,10.416s,PASSED
shopify.store.clickOnImportTheme(),Chrome 109.0.0.0,,,2023-02-13 09:24:57,2023-02-13 09:24:57,0.463s,PASSED
shopify.store.uploadThemeFile(theme_file_local),Chrome 109.0.0.0,,,2023-02-13 09:24:57,2023-02-13 09:25:08,10.888s,PASSED
shopify.store.clickPublishTheme(),Chrome 109.0.0.0,,,2023-02-13 09:25:08,2023-02-13 09:26:09,1m - 1.049s,PASSED
shopify.store.confirmPublishTheme(),Chrome 109.0.0.0,,,2023-02-13 09:26:09,2023-02-13 09:26:20,10.606s,PASSED
"shopify.store_setting.changeStoreCurrency(currency, store_name)",Chrome 109.0.0.0,,,2023-02-13 09:26:20,2023-02-13 09:26:38,18.276s,PASSED
shopify.store_setting.saveStoreSetting(),Chrome 109.0.0.0,,,2023-02-13 09:26:38,2023-02-13 09:26:39,0.570s,PASSED
Start tear down : teardownIfPassed,Chrome 109.0.0.0,,,2023-02-13 09:26:39,2023-02-13 09:26:39,0.026s,PASSED
,,,,,,,
Test Cases/Shopify/CreateStore,Chrome 109.0.0.0,,,2023-02-13 09:26:39,2023-02-13 09:30:28,3m - 48.976s,PASSED
Start listener action : skipStatus,Chrome 109.0.0.0,,,2023-02-13 09:26:39,2023-02-13 09:26:39,0.000s,PASSED
log = new com.kms.katalon.core.util.KeywordUtil(),Chrome 109.0.0.0,,,2023-02-13 09:26:39,2023-02-13 09:26:39,0.000s,PASSED
"openBrowser("""")",Chrome 109.0.0.0,,,2023-02-13 09:26:39,2023-02-13 09:26:41,1.724s,PASSED
maximizeWindow(),Chrome 109.0.0.0,,,2023-02-13 09:26:41,2023-02-13 09:26:41,0.147s,PASSED
st = new shopify.store(),Chrome 109.0.0.0,,,2023-02-13 09:26:41,2023-02-13 09:26:41,0.000s,PASSED
"st.loginShopifyPartner(partner_email, partner_password, partner_id)",Chrome 109.0.0.0,,,2023-02-13 09:26:41,2023-02-13 09:27:02,21.251s,PASSED
st.navigateToStoreDevelop(partner_id),Chrome 109.0.0.0,,,2023-02-13 09:27:02,2023-02-13 09:27:03,1.152s,PASSED
st.inputStoreName(store_name),Chrome 109.0.0.0,,,2023-02-13 09:27:03,2023-02-13 09:27:10,6.454s,PASSED
shopify.store.clickCreateStore(),Chrome 109.0.0.0,,,2023-02-13 09:27:10,2023-02-13 09:27:30,20.477s,PASSED
shopify.store.importProduct(product_file_local),Chrome 109.0.0.0,,,2023-02-13 09:27:30,2023-02-13 09:28:36,1m - 5.623s,PASSED
shopify.store.clickOnMenuOnlineStore(),Chrome 109.0.0.0,,,2023-02-13 09:28:36,2023-02-13 09:28:46,10.418s,PASSED
shopify.store.clickOnImportTheme(),Chrome 109.0.0.0,,,2023-02-13 09:28:46,2023-02-13 09:28:47,0.567s,PASSED
shopify.store.uploadThemeFile(theme_file_local),Chrome 109.0.0.0,,,2023-02-13 09:28:47,2023-02-13 09:28:58,10.994s,PASSED
shopify.store.clickPublishTheme(),Chrome 109.0.0.0,,,2023-02-13 09:28:58,2023-02-13 09:29:59,1m - 1.066s,PASSED
shopify.store.confirmPublishTheme(),Chrome 109.0.0.0,,,2023-02-13 09:29:59,2023-02-13 09:30:09,10.477s,PASSED
"shopify.store_setting.changeStoreCurrency(currency, store_name)",Chrome 109.0.0.0,,,2023-02-13 09:30:09,2023-02-13 09:30:27,18.111s,PASSED
shopify.store_setting.saveStoreSetting(),Chrome 109.0.0.0,,,2023-02-13 09:30:27,2023-02-13 09:30:28,0.453s,PASSED
Start tear down : teardownIfPassed,Chrome 109.0.0.0,,,2023-02-13 09:30:28,2023-02-13 09:30:28,0.035s,PASSED
,,,,,,,
Test Cases/Shopify/CreateStore,Chrome 109.0.0.0,,,2023-02-13 09:30:28,2023-02-13 09:34:17,3m - 49.541s,PASSED
Start listener action : skipStatus,Chrome 109.0.0.0,,,2023-02-13 09:30:28,2023-02-13 09:30:28,0.000s,PASSED
log = new com.kms.katalon.core.util.KeywordUtil(),Chrome 109.0.0.0,,,2023-02-13 09:30:28,2023-02-13 09:30:28,0.000s,PASSED
"openBrowser("""")",Chrome 109.0.0.0,,,2023-02-13 09:30:28,2023-02-13 09:30:30,1.727s,PASSED
maximizeWindow(),Chrome 109.0.0.0,,,2023-02-13 09:30:30,2023-02-13 09:30:30,0.130s,PASSED
st = new shopify.store(),Chrome 109.0.0.0,,,2023-02-13 09:30:30,2023-02-13 09:30:30,0.000s,PASSED
"st.loginShopifyPartner(partner_email, partner_password, partner_id)",Chrome 109.0.0.0,,,2023-02-13 09:30:30,2023-02-13 09:30:51,21.252s,PASSED
st.navigateToStoreDevelop(partner_id),Chrome 109.0.0.0,,,2023-02-13 09:30:51,2023-02-13 09:30:52,1.052s,PASSED
st.inputStoreName(store_name),Chrome 109.0.0.0,,,2023-02-13 09:30:52,2023-02-13 09:30:59,6.697s,PASSED
shopify.store.clickCreateStore(),Chrome 109.0.0.0,,,2023-02-13 09:30:59,2023-02-13 09:31:19,20.388s,PASSED
shopify.store.importProduct(product_file_local),Chrome 109.0.0.0,,,2023-02-13 09:31:19,2023-02-13 09:32:25,1m - 5.345s,PASSED
shopify.store.clickOnMenuOnlineStore(),Chrome 109.0.0.0,,,2023-02-13 09:32:25,2023-02-13 09:32:35,10.427s,PASSED
shopify.store.clickOnImportTheme(),Chrome 109.0.0.0,,,2023-02-13 09:32:35,2023-02-13 09:32:36,0.571s,PASSED
shopify.store.uploadThemeFile(theme_file_local),Chrome 109.0.0.0,,,2023-02-13 09:32:36,2023-02-13 09:32:47,11.005s,PASSED
shopify.store.clickPublishTheme(),Chrome 109.0.0.0,,,2023-02-13 09:32:47,2023-02-13 09:33:48,1m - 1.081s,PASSED
shopify.store.confirmPublishTheme(),Chrome 109.0.0.0,,,2023-02-13 09:33:48,2023-02-13 09:33:58,10.587s,PASSED
"shopify.store_setting.changeStoreCurrency(currency, store_name)",Chrome 109.0.0.0,,,2023-02-13 09:33:58,2023-02-13 09:34:17,18.647s,PASSED
shopify.store_setting.saveStoreSetting(),Chrome 109.0.0.0,,,2023-02-13 09:34:17,2023-02-13 09:34:17,0.583s,PASSED
Start tear down : teardownIfPassed,Chrome 109.0.0.0,,,2023-02-13 09:34:17,2023-02-13 09:34:17,0.031s,PASSED
,,,,,,,
Test Cases/Shopify/CreateStore,Chrome 109.0.0.0,,,2023-02-13 09:34:18,2023-02-13 09:38:07,3m - 49.945s,PASSED
Start listener action : skipStatus,Chrome 109.0.0.0,,,2023-02-13 09:34:18,2023-02-13 09:34:18,0.000s,PASSED
log = new com.kms.katalon.core.util.KeywordUtil(),Chrome 109.0.0.0,,,2023-02-13 09:34:18,2023-02-13 09:34:18,0.000s,PASSED
"openBrowser("""")",Chrome 109.0.0.0,,,2023-02-13 09:34:18,2023-02-13 09:34:19,1.728s,PASSED
maximizeWindow(),Chrome 109.0.0.0,,,2023-02-13 09:34:19,2023-02-13 09:34:19,0.123s,PASSED
st = new shopify.store(),Chrome 109.0.0.0,,,2023-02-13 09:34:19,2023-02-13 09:34:19,0.000s,PASSED
"st.loginShopifyPartner(partner_email, partner_password, partner_id)",Chrome 109.0.0.0,,,2023-02-13 09:34:19,2023-02-13 09:34:40,20.936s,PASSED
st.navigateToStoreDevelop(partner_id),Chrome 109.0.0.0,,,2023-02-13 09:34:40,2023-02-13 09:34:42,1.238s,PASSED
st.inputStoreName(store_name),Chrome 109.0.0.0,,,2023-02-13 09:34:42,2023-02-13 09:34:48,6.597s,PASSED
shopify.store.clickCreateStore(),Chrome 109.0.0.0,,,2023-02-13 09:34:48,2023-02-13 09:35:08,20.353s,PASSED
shopify.store.importProduct(product_file_local),Chrome 109.0.0.0,,,2023-02-13 09:35:08,2023-02-13 09:36:13,1m - 4.834s,PASSED
shopify.store.clickOnMenuOnlineStore(),Chrome 109.0.0.0,,,2023-02-13 09:36:13,2023-02-13 09:36:24,10.384s,PASSED
shopify.store.clickOnImportTheme(),Chrome 109.0.0.0,,,2023-02-13 09:36:24,2023-02-13 09:36:24,0.440s,PASSED
shopify.store.uploadThemeFile(theme_file_local),Chrome 109.0.0.0,,,2023-02-13 09:36:24,2023-02-13 09:36:35,10.969s,PASSED
